trading_date,stock_code,stock_name,current_price,price_change_pct,volume,volume_ratio,prev_volume,volume_increase_pct,ma25,price_above_ma25_pct,rsi,prev_rsi,curr_rsi,prev_rsi_signal,curr_rsi_signal,macd,macd_signal,prev_macd,curr_macd,prev_macd_signal,curr_macd_signal,macd_hist,atr,trading_strategy
20250810,377300,카카오페이,63800.0,-3.48,829782,0.39,2190463,37.88,66664.0,-4.3,,,,,,-1088.41,-1094.22,-1188.63,-1088.41,-1095.68,-1094.22,5.82,3828.57,"{'entry_price': 63800.0, 'stop_loss': {'price': 61886, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 66664, 'pct': 4.49, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 69997, 'pct': 9.71, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 55900.0, 'resistance_line': 77800.0, 'atr': 3828.5714285714284, 'ma25': 66664.0, 'risk_reward_ratio': 1.5}"
20250810,006360,GS건설,19480.0,-0.31,289124,0.64,355649,81.29,20148.4,-3.32,,,,,,-471.38,-478.47,-495.65,-471.38,-480.25,-478.47,7.09,520.71,"{'entry_price': 19480.0, 'stop_loss': {'price': 18895, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 20148, 'pct': 3.43, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 21155, 'pct': 8.6, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 18630.0, 'resistance_line': 21450.0, 'atr': 520.7142857142857, 'ma25': 20148.4, 'risk_reward_ratio': 1.14}"
20250810,047040,대우건설,3830.0,0.52,666135,0.62,789430,84.38,3941.2,-2.82,,,,,,-90.51,-92.8,-97.32,-90.51,-93.37,-92.8,2.29,106.07,"{'entry_price': 3830.0, 'stop_loss': {'price': 3715, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 3941, 'pct': 2.9, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 4138, 'pct': 8.05, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 3630.0, 'resistance_line': 4170.0, 'atr': 106.07142857142857, 'ma25': 3941.2, 'risk_reward_ratio': 0.97}"
20250810,375500,DL이앤씨,47300.0,-0.32,153447,0.52,211010,72.72,47938.0,-1.33,,,,,,-779.45,-849.06,-868.78,-779.45,-866.46,-849.06,69.61,1728.57,"{'entry_price': 47300.0, 'stop_loss': {'price': 45881, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 47938, 'pct': 1.35, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 50334, 'pct': 6.42, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 43450.0, 'resistance_line': 51800.0, 'atr': 1728.5714285714287, 'ma25': 47938.0, 'risk_reward_ratio': 0.45}"
20250810,008770,호텔신라,50600.0,1.0,281444,1.04,235755,119.38,49914.0,1.37,,,,,,-477.83,-561.68,-681.76,-477.83,-582.64,-561.68,83.85,1735.71,"{'entry_price': 50600.0, 'stop_loss': {'price': 49082, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 49914, 'pct': -1.36, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 52409, 'pct': 3.58, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 45400.0, 'resistance_line': 54200.0, 'atr': 1735.7142857142858, 'ma25': 49914.0, 'risk_reward_ratio': -0.45}"
20250810,456040,OCI,58300.0,-0.34,35170,0.53,27731,126.83,57468.0,1.45,,,,,,111.13,83.39,40.79,111.13,76.45,83.39,27.75,1757.14,"{'entry_price': 58300.0, 'stop_loss': {'price': 56551, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 57468, 'pct': -1.43, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 60341, 'pct': 3.5, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 54300.0, 'resistance_line': 62300.0, 'atr': 1757.142857142857, 'ma25': 57468.0, 'risk_reward_ratio': -0.48}"
20250810,241560,두산밥캣,56800.0,0.18,192500,0.81,234779,81.99,55880.0,1.65,,,,,,305.95,282.21,233.48,305.95,276.28,282.21,23.73,2189.29,"{'entry_price': 56800.0, 'stop_loss': {'price': 55096, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 55880, 'pct': -1.62, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 58674, 'pct': 3.3, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 52100.0, 'resistance_line': 58900.0, 'atr': 2189.285714285714, 'ma25': 55880.0, 'risk_reward_ratio': -0.54}"
20250810,017800,현대엘리베이터,85500.0,3.39,317430,1.49,159773,198.68,83872.0,1.94,,,,,,-272.66,-273.1,-560.67,-272.66,-273.21,-273.1,0.44,3157.14,"{'entry_price': 85500.0, 'stop_loss': {'price': 82935, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 83872, 'pct': -1.9, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 88065, 'pct': 3.0, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 78200.0, 'resistance_line': 90500.0, 'atr': 3157.1428571428573, 'ma25': 83872.0, 'risk_reward_ratio': -0.63}"
20250810,003230,삼양식품,1455000.0,1.39,38734,0.91,24576,157.61,1413840.0,2.91,,,,,,25693.98,25024.23,23445.44,25693.98,24856.79,25024.23,669.75,50214.29,"{'entry_price': 1455000.0, 'stop_loss': {'price': 1411350, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 1413840, 'pct': -2.83, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 1484532, 'pct': 2.03, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 1307000.0, 'resistance_line': 1501000.0, 'atr': 50214.28571428572, 'ma25': 1413840.0, 'risk_reward_ratio': -0.94}"
20250810,002710,TCC스틸,18280.0,0.0,75727,0.23,106337,71.21,17705.2,3.25,,,,,,250.75,248.34,247.52,250.75,247.74,248.34,2.4,1132.86,"{'entry_price': 18280.0, 'stop_loss': {'price': 17731, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 17705, 'pct': -3.14, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 18590, 'pct': 1.7, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 16180.0, 'resistance_line': 21200.0, 'atr': 1132.857142857143, 'ma25': 17705.2, 'risk_reward_ratio': -1.05}"
