선택일자,종목코드,종목명,진입가격,익절1차가격,익절2차가격,손절가격,청산일자,청산가격,청산사유,순이익,순이익률(%)
20250801,383220,F&F,67100,77388,81257,65087,20250805,65087.0,손절,-2013.0,-3.0
20250801,003030,세아제강지주,192100,221024,232075,186337,20250814,186337.0,손절,-5763.0,-3.0
20250801,298020,효성티앤씨,225500,254880,267624,218735,20250822,218735.0,손절,-6765.0,-3.0
20250801,003240,태광산업,968000,1091000,1145550,938960,20250813,938960.0,손절,-29040.0,-3.0
20250801,006260,LS,162000,181356,190423,157140,20250818,157140.0,손절,-4860.0,-3.0
20250801,375500,DL이앤씨,43900,48952,51399,42583,20250811,42583.0,손절,-1317.0,-3.0
20250802,383220,F&F,67100,77388,81257,65087,20250805,65087.0,손절,-2013.0,-3.0
20250802,003030,세아제강지주,192100,221024,232075,186337,20250814,186337.0,손절,-5763.0,-3.0
20250802,298020,효성티앤씨,225500,254880,267624,218735,20250822,218735.0,손절,-6765.0,-3.0
20250802,003240,태광산업,968000,1091000,1145550,938960,20250813,938960.0,손절,-29040.0,-3.0
20250802,006260,LS,162000,181356,190423,157140,20250818,157140.0,손절,-4860.0,-3.0
20250802,375500,DL이앤씨,43900,48952,51399,42583,20250811,42583.0,손절,-1317.0,-3.0
20250803,383220,F&F,67100,77388,81257,65087,20250805,65087.0,손절,-2013.0,-3.0
20250803,003030,세아제강지주,192100,221024,232075,186337,20250814,186337.0,손절,-5763.0,-3.0
20250803,298020,효성티앤씨,225500,254880,267624,218735,20250822,218735.0,손절,-6765.0,-3.0
20250803,003240,태광산업,968000,1091000,1145550,938960,20250813,938960.0,손절,-29040.0,-3.0
20250803,006260,LS,162000,181356,190423,157140,20250818,157140.0,손절,-4860.0,-3.0
20250803,375500,DL이앤씨,43900,48952,51399,42583,20250811,42583.0,손절,-1317.0,-3.0
20250804,402340,SK스퀘어,140200,162956,171103,135994,20250820,135994.0,손절,-4206.0,-3.0
20250804,383220,F&F,66600,76892,80736,64602,20250806,64602.0,손절,-1998.0,-3.0
20250804,003030,세아제강지주,192100,219908,230903,186337,20250814,186337.0,손절,-5763.0,-3.0
20250804,006800,미래에셋증권,18120,20442,21464,17576,20250820,17576.0,손절,-544.0,-3.0
20250804,003240,태광산업,979000,1091000,1145550,949630,20250813,949630.0,손절,-29370.0,-3.0
20250804,298020,효성티앤씨,228500,254020,266721,221645,20250820,221645.0,손절,-6855.0,-3.0
20250805,383220,F&F,65100,76248,80060,63147,20250812,63147.0,손절,-1953.0,-3.0
20250805,402340,SK스퀘어,143500,161296,169360,139195,20250806,139195.0,손절,-4305.0,-3.0
20250805,006800,미래에셋증권,18260,20306,21321,17712,20250820,17712.0,손절,-548.0,-3.0
20250806,383220,F&F,65700,75588,79367,63729,20250811,63729.0,손절,-1971.0,-3.0
20250806,402340,SK스퀘어,140300,159860,167853,136091,20250820,136091.0,손절,-4209.0,-3.0
20250807,383220,F&F,65300,74908,78653,63341,20250811,63341.0,손절,-1959.0,-3.0
20250807,402340,SK스퀘어,141900,158664,166597,137643,20250818,137643.0,손절,-4257.0,-3.0
20250808,383220,F&F,64400,74244,77956,62468,20250812,62468.0,손절,-1932.0,-3.0
20250808,402340,SK스퀘어,139300,157708,165593,135121,20250820,135121.0,손절,-4179.0,-3.0
20250809,383220,F&F,64400,74244,77956,62468,20250812,62468.0,손절,-1932.0,-3.0
20250809,402340,SK스퀘어,139300,157708,165593,135121,20250820,135121.0,손절,-4179.0,-3.0
20250810,383220,F&F,64400,74244,77956,62468,20250812,62468.0,손절,-1932.0,-3.0
20250810,402340,SK스퀘어,139300,157708,165593,135121,20250820,135121.0,손절,-4179.0,-3.0
20250811,009830,한화솔루션,29000,34214,35924,28130,20250828,28130.0,손절,-870.0,-3.0
20250811,383220,F&F,63500,73476,77149,61595,20250819,61595.0,손절,-1905.0,-3.0
20250812,069620,대웅제약,129300,154044,161746,125421,20250912,143200.0,기간만료,13900.0,10.75
20250812,009830,한화솔루션,28750,33952,35649,27887,20250901,27887.0,손절,-863.0,-3.0
20250812,120110,코오롱인더,36000,42382,44501,34920,20250820,34920.0,손절,-1080.0,-3.0
20250812,383220,F&F,62800,72760,76398,60916,20250912,69700.0,기간만료,6900.0,10.99
20250812,003090,대웅,21550,24656,25888,20903,20250829,25888.0,익절2차,3722.0,17.27
20250812,002790,아모레퍼시픽홀딩스,27800,31078,32631,26966,20250819,26966.0,손절,-834.0,-3.0
20250813,000210,DL,38950,49332,51798,37781,20250819,37781.0,손절,-1169.0,-3.0
20250813,120110,코오롱인더,36000,42014,44114,34920,20250820,34920.0,손절,-1080.0,-3.0
20250813,009830,한화솔루션,29000,33778,35466,28130,20250828,28130.0,손절,-870.0,-3.0
20250813,069620,대웅제약,132000,152816,160456,128040,20250912,143200.0,기간만료,11200.0,8.48
20250813,003240,태광산업,926000,1066080,1119384,898220,20250820,898220.0,손절,-27780.0,-3.0
20250813,139480,이마트,79400,91180,95739,77018,20250819,77018.0,손절,-2382.0,-3.0
20250813,383220,F&F,62700,71996,75595,60819,20250912,69700.0,기간만료,7000.0,11.16
20250813,375500,DL이앤씨,41400,47090,49444,40158,20250912,43350.0,기간만료,1950.0,4.71
20250813,285130,SK케미칼,62000,69348,72815,60140,20250820,60140.0,손절,-1860.0,-3.0
20250813,003030,세아제강지주,188300,210432,220953,182651,20250820,182651.0,손절,-5649.0,-3.0
20250813,002790,아모레퍼시픽홀딩스,27650,30898,32442,26820,20250819,26820.0,손절,-830.0,-3.0
20250814,000210,DL,38850,48798,51237,37684,20250820,37684.0,손절,-1166.0,-3.0
20250814,120110,코오롱인더,35700,41634,43715,34629,20250912,38500.0,기간만료,2800.0,7.84
20250814,139480,이마트,78500,90384,94903,76145,20250819,76145.0,손절,-2355.0,-3.0
20250814,383220,F&F,62900,71268,74831,61013,20250819,61013.0,손절,-1887.0,-3.0
20250814,069620,대웅제약,134000,151676,159259,129980,20250912,143200.0,기간만료,9200.0,6.87
20250814,003240,태광산업,939000,1054600,1107330,910830,20250819,910830.0,손절,-28170.0,-3.0
20250814,009830,한화솔루션,30000,33590,35269,29100,20250821,29100.0,손절,-900.0,-3.0
20250814,001800,오리온홀딩스,20050,22438,23559,19448,20250820,19448.0,손절,-602.0,-3.0
20250815,000210,DL,38850,48798,51237,37684,20250820,37684.0,손절,-1166.0,-3.0
20250815,120110,코오롱인더,35700,41634,43715,34629,20250915,38950.0,기간만료,3250.0,9.1
20250815,139480,이마트,78500,90384,94903,76145,20250819,76145.0,손절,-2355.0,-3.0
20250815,383220,F&F,62900,71268,74831,61013,20250819,61013.0,손절,-1887.0,-3.0
20250815,069620,대웅제약,134000,151676,159259,129980,20250915,140800.0,기간만료,6800.0,5.07
20250815,003240,태광산업,939000,1054600,1107330,910830,20250819,910830.0,손절,-28170.0,-3.0
20250815,009830,한화솔루션,30000,33590,35269,29100,20250821,29100.0,손절,-900.0,-3.0
20250815,001800,오리온홀딩스,20050,22438,23559,19448,20250820,19448.0,손절,-602.0,-3.0
20250816,000210,DL,38850,48798,51237,37684,20250820,37684.0,손절,-1166.0,-3.0
20250816,120110,코오롱인더,35700,41634,43715,34629,20250916,38300.0,기간만료,2600.0,7.28
20250816,139480,이마트,78500,90384,94903,76145,20250819,76145.0,손절,-2355.0,-3.0
20250816,383220,F&F,62900,71268,74831,61013,20250819,61013.0,손절,-1887.0,-3.0
20250816,069620,대웅제약,134000,151676,159259,129980,20250916,141500.0,기간만료,7500.0,5.6
20250816,003240,태광산업,939000,1054600,1107330,910830,20250819,910830.0,손절,-28170.0,-3.0
20250816,009830,한화솔루션,30000,33590,35269,29100,20250821,29100.0,손절,-900.0,-3.0
20250816,001800,오리온홀딩스,20050,22438,23559,19448,20250820,19448.0,손절,-602.0,-3.0
20250817,000210,DL,38850,48798,51237,37684,20250820,37684.0,손절,-1166.0,-3.0
20250817,120110,코오롱인더,35700,41634,43715,34629,20250917,38250.0,기간만료,2550.0,7.14
20250817,139480,이마트,78500,90384,94903,76145,20250819,76145.0,손절,-2355.0,-3.0
20250817,383220,F&F,62900,71268,74831,61013,20250819,61013.0,손절,-1887.0,-3.0
20250817,069620,대웅제약,134000,151676,159259,129980,20250917,140100.0,기간만료,6100.0,4.55
20250817,003240,태광산업,939000,1054600,1107330,910830,20250819,910830.0,손절,-28170.0,-3.0
20250817,009830,한화솔루션,30000,33590,35269,29100,20250821,29100.0,손절,-900.0,-3.0
20250817,001800,오리온홀딩스,20050,22438,23559,19448,20250820,19448.0,손절,-602.0,-3.0
20250818,000210,DL,38500,48278,50691,37345,20250820,37345.0,손절,-1155.0,-3.0
20250818,120110,코오롱인더,35500,41208,43268,34435,20250918,38700.0,기간만료,3200.0,9.01
20250818,139480,이마트,77700,89644,94126,75369,20250826,75369.0,손절,-2331.0,-3.0
20250818,383220,F&F,61800,70556,74083,59946,20250918,68700.0,익절1차+기간만료,7828.0,12.67
20250818,001800,오리온홀딩스,19750,22246,23358,19157,20250918,21200.0,익절1차+기간만료,1973.0,9.99
20250818,002790,아모레퍼시픽홀딩스,27200,30478,32001,26384,20250903,26384.0,손절,-816.0,-3.0
20250818,069620,대웅제약,134500,150596,158125,130465,20250918,139500.0,기간만료,5000.0,3.72
20250819,000210,DL,38000,47686,50070,36860,20250820,36860.0,손절,-1140.0,-3.0
20250819,139480,이마트,76400,88736,93172,74108,20250826,74108.0,손절,-2292.0,-3.0
20250819,120110,코오롱인더,35250,40790,42829,34192,20250919,38150.0,기간만료,2900.0,8.23
20250819,071320,지역난방공사,75100,85848,90140,72847,20250820,72847.0,손절,-2253.0,-3.0
20250819,000880,한화,79600,90364,94882,77212,20250820,77212.0,손절,-2388.0,-3.0
20250819,383220,F&F,61800,69808,73298,59946,20250919,67500.0,익절1차+기간만료,6854.0,11.09
20250819,078930,GS,43750,49274,51737,42437,20250919,46000.0,기간만료,2250.0,5.14
20250819,069620,대웅제약,133000,149344,156811,129010,20250919,141500.0,기간만료,8500.0,6.39
20250819,001800,오리온홀딩스,19630,22013,23113,19041,20250919,21100.0,익절1차+기간만료,1926.5,9.81
20250819,003240,태광산업,919000,1030400,1081920,891430,20250820,891430.0,손절,-27570.0,-3.0
20250819,002790,아모레퍼시픽홀딩스,26950,30200,31710,26141,20250919,27450.0,기간만료,500.0,1.86
20250820,000210,DL,37200,47058,49410,36084,20250919,37550.0,기간만료,350.0,0.94
20250820,000880,한화,76600,89636,94117,74302,20250915,94117.0,익절2차,15276.5,19.94
